,dispatching_base_number,date,active_vehicles,trips
332,B02765,2/25/2015,706,6178
333,B02682,2/25/2015,1395,12693
334,B02617,2/25/2015,1473,12811
335,B02764,2/25/2015,3934,31957
336,B02598,2/26/2015,1134,10661
337,B02617,2/26/2015,1539,14461
338,B02682,2/26/2015,1465,13814
339,B02512,2/26/2015,243,1797
340,B02765,2/26/2015,745,6744
341,B02764,2/26/2015,4101,36091
342,B02765,2/27/2015,786,7563
343,B02617,2/27/2015,1551,14677
344,B02598,2/27/2015,1114,10755
345,B02512,2/27/2015,272,2056
346,B02764,2/27/2015,4253,38780
347,B02682,2/27/2015,1510,14975
348,B02598,2/28/2015,994,10319
349,B02764,2/28/2015,3952,39812
350,B02617,2/28/2015,1372,14022
351,B02682,2/28/2015,1386,14472
352,B02512,2/28/2015,230,1803
353,B02765,2/28/2015,747,7753
